産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,F,T,"367,725 ","4,493 ","4,175 ","368,043 ","73,462 ",17.6 ,145.1 ,133.0 ,12.1 ,"394,328 ","300,144 ",,,"94,184 "
,,N,"1,711,421 ","15,735 ","15,139 ","1,712,040 ",-,18.5 ,161.2 ,143.3 ,17.9 ,"615,688 ","445,948 ","392,276 ","53,672 ","169,740 "
,,P,"109,844 ","1,884 ","2,015 ","109,691 ",-,16.4 ,125.2 ,114.1 ,11.1 ,"179,104 ","171,170 ","154,158 ","17,012 ","7,934 "
,,,,,,,,,,,,,,,,
5,T,T,"2,298,895 ","24,835 ","23,796 ","2,299,934 ","259,477 ",18.6 ,158.1 ,142.6 ,15.5 ,"445,380 ","344,678 ","308,105 ","36,573 ","100,702 "
,M,T,"1,600,744 ","15,248 ","14,708 ","1,601,284 ","73,241 ",18.9 ,163.7 ,146.2 ,17.5 ,"509,937 ","389,377 ",,,"120,560 "
,F,T,"698,151 ","9,588 ","9,088 ","698,651 ","186,237 ",17.9 ,145.1 ,134.3 ,10.8 ,"297,386 ","242,209 ",,,"55,177 "
,,N,"2,039,248 ","19,944 ","18,723 ","2,040,457 ",-,18.8 ,162.6 ,146.2 ,16.4 ,"480,973 ","368,221 ","328,699 ","39,522 ","112,752 "
,,P,"259,647 ","4,891 ","5,073 ","259,477 ",-,16.8 ,122.6 ,114.5 ,8.1 ,"165,653 ","159,653 ","146,255 ","13,398 ","6,000 "
,,,,,,,,,,,,,,,,
7,T,T,"1,846,988 ","19,598 ","19,757 ","1,846,829 ","270,711 ",18.9 ,155.4 ,144.0 ,11.4 ,"364,058 ","296,656 ","274,158 ","22,498 ","67,402 "
,M,T,"1,210,602 ","11,121 ","11,800 ","1,209,923 ","67,121 ",19.2 ,162.6 ,148.9 ,13.7 ,"425,294 ","342,364 ",,,"82,930 "
,F,T,"636,386 ","8,478 ","7,958 ","636,906 ","203,590 ",18.4 ,142.1 ,134.9 ,7.2 ,"247,647 ","209,765 ",,,"37,882 "
,,N,"1,575,611 ","14,958 ","15,256 ","1,576,118 ",-,19.3 ,162.9 ,150.2 ,12.7 ,"401,380 ","323,684 ","298,322 ","25,362 ","77,696 "
,,P,"271,377 ","4,640 ","4,502 ","270,711 ",-,16.8 ,112.2 ,108.0 ,4.2 ,"147,062 ","139,511 ","133,666 ","5,845 ","7,551 "
,,,,,,,,,,,,,,,,
9,T,T,"1,702,573 ","19,923 ","19,510 ","1,702,986 ","357,382 ",19.0 ,148.1 ,139.8 ,8.3 ,"311,535 ","266,743 ","252,609 ","14,134 ","44,792 "
,M,T,"1,069,187 ","11,291 ","11,663 ","1,068,815 ","82,742 ",19.6 ,160.9 ,149.8 ,11.1 ,"376,463 ","318,062 ",,,"58,401 "
,F,T,"633,386 ","8,632 ","7,847 ","634,171 ","274,640 ",18.0 ,126.6 ,123.0 ,3.6 ,"202,020 ","180,184 ",,,"21,836 "
,,N,"1,345,922 ","12,879 ","13,189 ","1,345,604 ",-,19.8 ,162.5 ,152.3 ,10.2 ,"362,927 ","307,325 ","289,927 ","17,398 ","55,602 "
,,P,"356,651 ","7,044 ","6,321 ","357,382 ",-,16.1 ,94.2 ,92.8 ,1.4 ,"117,815 ","113,771 ","111,939 ","1,832 ","4,044 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
F,,,電気・ガス・熱供給・水道業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,5頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"265,465 ","3,481 ","3,489 ","265,457 ","9,726 ",18.5 ,154.9 ,138.6 ,16.3 ,"636,949 ","487,436 ","426,972 ","60,464 ","149,513 "
,M,T,"223,604 ","2,520 ","2,748 ","223,376 ","5,396 ",18.5 ,156.9 ,139.6 ,17.3 ,"663,717 ","507,622 ",,,"156,095 "
,F,T,"41,861 ",961 ,741 ,"42,081 ","4,331 ",18.1 ,144.4 ,133.3 ,11.1 ,"494,411 ","379,947 ",,,"114,464 "
,,N,"255,739 ","3,255 ","3,242 ","255,732 ",-,18.6 ,156.9 ,140.0 ,16.9 ,"653,339 ","499,772 ","437,143 ","62,629 ","153,567 "
,,P,"9,726 ",227 ,247 ,"9,726 ",-,15.3 ,103.8 ,102.3 ,1.5 ,"205,997 ","163,075 ","159,542 ","3,533 ","42,922 "
,,,,,,,,,,,,,,,,
0,T,T,"204,767 ","2,741 ","2,663 ","204,845 ","4,929 ",18.5 ,156.8 ,138.2 ,18.6 ,"680,659 ","522,879 ","451,527 ","71,352 ","157,780 "
,M,T,"171,665 ","1,933 ","2,001 ","171,597 ","2,760 ",18.5 ,158.9 ,139.1 ,19.8 ,"711,061 ","545,976 ",,,"165,085 "
,F,T,"33,101 ",808 ,662 ,"33,247 ","2,170 ",18.2 ,146.5 ,134.0 ,12.5 ,"523,373 ","403,386 ",,,"119,987 "
,,N,"199,890 ","2,575 ","2,535 ","199,916 ",-,18.5 ,158.0 ,139.0 ,19.0 ,"692,009 ","531,407 ","458,410 ","72,997 ","160,602 "
,,P,"4,877 ",166 ,127 ,"4,929 ",-,15.9 ,107.6 ,106.0 ,1.6 ,"217,922 ","175,196 ","170,904 ","4,292 ","42,726 "
,,,,,,,,,,,,,,,,
1,T,T,"49,210 ",499 ,334 ,"49,375 ",370 ,18.8 ,161.3 ,139.0 ,22.3 ,"814,222 ","626,459 ","539,531 ","86,928 ","187,763 "
,M,T,"41,215 ",384 ,276 ,"41,323 ",280 ,18.8 ,162.8 ,139.6 ,23.2 ,"844,598 ","650,520 ",,,"194,078 "
,F,T,"7,995 ",114 ,58 ,"8,051 ",90 ,18.5 ,153.9 ,136.1 ,17.8 ,"657,971 ","502,694 ",,,"155,277 "
,,N,"48,844 ",491 ,329 ,"49,005 ",-,18.8 ,161.9 ,139.5 ,22.4 ,"818,684 ","629,669 ","542,177 ","87,492 ","189,015 "
,,P,366 ,8 ,4 ,370 ,-,11.1 ,85.7 ,81.8 ,3.9 ,"220,702 ","199,484 ","187,605 ","11,879 ","21,218 "
,,,,,,,,,,,,,,,,
3,T,T,"21,215 ",394 ,288 ,"21,321 ",156 ,18.4 ,160.1 ,138.4 ,21.7 ,"704,572 ","525,025 ","449,668 ","75,357 ","179,547 "
,M,T,"17,556 ",316 ,236 ,"17,636 ",66 ,18.5 ,162.6 ,139.5 ,23.1 ,"738,481 ","549,669 ",,,"188,812 "
,F,T,"3,659 ",78 ,52 ,"3,685 ",90 ,17.9 ,148.5 ,133.6 ,14.9 ,"542,092 ","406,938 ",,,"135,154 "
,,N,"21,060 ",389 ,285 ,"21,165 ",-,18.4 ,160.4 ,138.6 ,21.8 ,"708,234 ","527,577 ","451,677 ","75,900 ","180,657 "
,,P,155 ,4 ,3 ,156 ,-,15.7 ,115.4 ,114.8 ,0.6 ,"206,511 ","177,870 ","176,284 ","1,586 ","28,641 "
,,,,,,,,,,,,,,,,
4,T,T,"70,425 ",892 ,621 ,"70,696 ",526 ,18.6 ,160.9 ,138.8 ,22.1 ,"781,173 ","595,886 ","512,446 ","83,440 ","185,287 "
,M,T,"58,771 ",700 ,512 ,"58,959 ",345 ,18.7 ,162.7 ,139.6 ,23.1 ,"812,878 ","620,374 ",,,"192,504 "
,F,T,"11,654 ",192 ,110 ,"11,736 ",180 ,18.3 ,152.2 ,135.3 ,16.9 ,"621,586 ","472,627 ",,,"148,959 "
,,N,"69,904 ",880 ,614 ,"70,169 ",-,18.7 ,161.5 ,139.2 ,22.3 ,"785,389 ","598,894 ","514,897 ","83,997 ","186,495 "
,,P,521 ,12 ,8 ,526 ,-,12.5 ,94.5 ,91.6 ,2.9 ,"216,490 ","193,069 ","184,245 ","8,824 ","23,421 "
,,,,,,,,,,,,,,,,
5,T,T,"66,310 ",745 ,929 ,"66,126 ","1,761 ",18.4 ,155.9 ,137.5 ,18.4 ,"667,248 ","508,829 ","438,254 ","70,575 ","158,419 "
,M,T,"56,122 ",584 ,753 ,"55,953 ","1,060 ",18.4 ,158.2 ,138.5 ,19.7 ,"692,900 ","528,568 ",,,"164,332 "
,F,T,"10,188 ",161 ,175 ,"10,174 ",701 ,17.9 ,143.5 ,131.9 ,11.6 ,"526,065 ","400,190 ",,,"125,875 "
,,N,"64,582 ",698 ,897 ,"64,366 ",-,18.4 ,157.2 ,138.3 ,18.9 ,"678,747 ","517,448 ","445,097 ","72,351 ","161,299 "
,,P,"1,728 ",48 ,32 ,"1,761 ",-,15.7 ,109.0 ,107.3 ,1.7 ,"242,201 ","190,250 ","185,334 ","4,916 ","51,951 "
,,,,,,,,,,,,,,,,
7,T,T,"68,032 ","1,103 ","1,113 ","68,022 ","2,643 ",18.4 ,153.5 ,138.4 ,15.1 ,"589,458 ","460,831 ","401,260 ","59,571 ","128,627 "
,M,T,"56,773 ",649 ,736 ,"56,686 ","1,354 ",18.4 ,155.4 ,139.1 ,16.3 ,"623,348 ","485,972 ",,,"137,376 "
,F,T,"11,259 ",454 ,377 ,"11,336 ","1,289 ",18.3 ,143.3 ,134.6 ,8.7 ,"419,280 ","334,588 ",,,"84,692 "
,,N,"65,404 ",997 ,"1,025 ","65,379 ",-,18.5 ,155.2 ,139.6 ,15.6 ,"605,069 ","472,888 ","411,036 ","61,852 ","132,181 "
,,P,"2,628 ",106 ,88 ,"2,643 ",-,16.7 ,109.3 ,108.1 ,1.2 ,"202,140 ","161,687 ","158,706 ","2,981 ","40,453 "
,,,,,,,,,,,,,,,,
9,T,T,"60,698 ",741 ,826 ,"60,613 ","4,797 ",18.4 ,148.3 ,139.7 ,8.6 ,"489,360 ","367,760 ","344,062 ","23,698 ","121,600 "
,M,T,"51,939 ",587 ,747 ,"51,779 ","2,636 ",18.5 ,150.2 ,141.2 ,9.0 ,"507,030 ","380,686 ",,,"126,344 "
,F,T,"8,759 ",154 ,78 ,"8,835 ","2,161 ",17.8 ,136.5 ,130.6 ,5.9 ,"385,197 ","291,560 ",,,"93,637 "
,,N,"55,849 ",679 ,707 ,"55,816 ",-,18.7 ,152.4 ,143.2 ,9.2 ,"514,887 ","386,507 ","361,000 ","25,507 ","128,380 "
,,P,"4,850 ",61 ,119 ,"4,797 ",-,14.8 ,100.1 ,98.6 ,1.5 ,"193,875 ","150,754 ","147,992 ","2,762 ","43,121 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
G,,,情報通信業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,6頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"1,884,460 ","28,936 ","27,739 ","1,885,657 ","92,482 ",18.5 ,156.9 ,141.1 ,15.8 ,"549,289 ","422,903 ","388,516 ","34,387 ","126,386 "
,M,T,"1,307,502 ","18,482 ","18,286 ","1,307,698 ","29,928 ",18.7 ,160.7 ,143.7 ,17.0 ,"599,069 ","457,573 ",,,"141,496 "
,F,T,"576,958 ","10,454 ","9,452 ","577,960 ","62,554 ",18.0 ,148.5 ,135.4 ,13.1 ,"436,566 ","344,396 ",,,"92,170 "
,,N,"1,791,649 ","25,880 ","24,442 ","1,793,175 ",-,18.8 ,160.5 ,144.0 ,16.5 ,"570,056 ","437,496 ","401,574 ","35,922 ","132,560 "
,,P,"92,811 ","3,056 ","3,297 ","92,482 ",-,13.7 ,89.2 ,86.2 ,3.0 ,"147,500 ","140,574 ","135,890 ","4,684 ","6,926 "
,,,,,,,,,,,,,,,,
0,T,T,"1,602,649 ","23,473 ","22,973 ","1,603,149 ","66,674 ",18.5 ,157.0 ,140.6 ,16.4 ,"573,261 ","436,579 ","400,055 ","36,524 ","136,682 "
,M,T,"1,130,285 ","15,270 ","15,250 ","1,130,305 ","22,990 ",18.7 ,160.5 ,142.9 ,17.6 ,"620,450 ","469,174 ",,,"151,276 "
,F,T,"472,364 ","8,203 ","7,724 ","472,843 ","43,685 ",18.0 ,148.9 ,135.4 ,13.5 ,"460,402 ","358,625 ",,,"101,777 "
,,N,"1,535,503 ","21,355 ","20,384 ","1,536,475 ",-,18.7 ,159.9 ,142.9 ,17.0 ,"591,541 ","449,263 ","411,385 ","37,878 ","142,278 "
,,P,"67,146 ","2,118 ","2,589 ","66,674 ",-,13.7 ,91.4 ,87.9 ,3.5 ,"153,635 ","145,412 ","139,979 ","5,433 ","8,223 "
,,,,,,,,,,,,,,,,
1,T,T,"362,760 ","5,212 ","5,051 ","362,921 ","6,804 ",18.5 ,158.4 ,139.6 ,18.8 ,"691,840 ","506,868 ","462,749 ","44,119 ","184,972 "
,M,T,"262,214 ","3,462 ","3,467 ","262,209 ","2,603 ",18.6 ,160.5 ,141.0 ,19.5 ,"741,568 ","539,817 ",,,"201,751 "
,F,T,"100,546 ","1,751 ","1,584 ","100,713 ","4,200 ",18.0 ,153.0 ,135.9 ,17.1 ,"562,263 ","421,011 ",,,"141,252 "
,,N,"355,912 ","4,947 ","4,737 ","356,117 ",-,18.6 ,159.7 ,140.6 ,19.1 ,"701,808 ","513,500 ","468,731 ","44,769 ","188,308 "
,,P,"6,848 ",265 ,314 ,"6,804 ",-,12.1 ,91.1 ,85.2 ,5.9 ,"171,885 ","160,932 ","150,748 ","10,184 ","10,953 "
,,,,,,,,,,,,,,,,
3,T,T,"319,293 ","4,163 ","4,540 ","318,916 ","8,250 ",18.5 ,157.9 ,140.4 ,17.5 ,"622,245 ","468,230 ","421,636 ","46,594 ","154,015 "
,M,T,"231,113 ","2,705 ","3,116 ","230,702 ","3,411 ",18.6 ,160.9 ,142.3 ,18.6 ,"661,174 ","495,508 ",,,"165,666 "
,F,T,"88,181 ","1,458 ","1,424 ","88,215 ","4,839 ",18.0 ,149.9 ,135.4 ,14.5 ,"520,327 ","396,817 ",,,"123,510 "
,,N,"310,984 ","3,962 ","4,274 ","310,666 ",-,18.6 ,159.4 ,141.6 ,17.8 ,"633,668 ","476,032 ","428,385 ","47,647 ","157,636 "
,,P,"8,309 ",200 ,266 ,"8,250 ",-,14.2 ,99.5 ,94.2 ,5.3 ,"193,437 ","175,363 ","168,294 ","7,069 ","18,074 "
,,,,,,,,,,,,,,,,
4,T,T,"682,053 ","9,375 ","9,591 ","681,837 ","15,054 ",18.5 ,158.1 ,139.9 ,18.2 ,"659,274 ","488,788 ","443,511 ","45,277 ","170,486 "
,M,T,"493,326 ","6,166 ","6,583 ","492,909 ","6,014 ",18.6 ,160.7 ,141.6 ,19.1 ,"703,923 ","519,069 ",,,"184,854 "
,F,T,"188,727 ","3,209 ","3,008 ","188,928 ","9,040 ",18.0 ,151.5 ,135.6 ,15.9 ,"542,675 ","409,710 ",,,"132,965 "
,,N,"666,896 ","8,909 ","9,012 ","666,783 ",-,18.6 ,159.6 ,141.1 ,18.5 ,"670,047 ","496,036 ","449,925 ","46,111 ","174,011 "
,,P,"15,157 ",466 ,579 ,"15,054 ",-,13.3 ,95.6 ,90.1 ,5.5 ,"183,699 ","168,842 ","160,365 ","8,477 ","14,857 "
,,,,,,,,,,,,,,,,
5,T,T,"523,477 ","8,803 ","8,282 ","523,998 ","27,496 ",18.3 ,155.6 ,139.3 ,16.3 ,"546,807 ","422,514 ","388,326 ","34,188 ","124,293 "
,M,T,"361,592 ","5,748 ","5,352 ","361,988 ","10,097 ",18.6 ,160.0 ,142.3 ,17.7 ,"596,174 ","456,708 ",,,"139,466 "
,F,T,"161,885 ","3,055 ","2,930 ","162,010 ","17,399 ",17.7 ,145.9 ,132.6 ,13.3 ,"436,521 ","346,123 ",,,"90,398 "
,,N,"495,694 ","7,804 ","7,004 ","496,502 ",-,18.6 ,159.5 ,142.5 ,17.0 ,"569,574 ","438,546 ","402,779 ","35,767 ","131,028 "
,,P,"27,783 ",999 ,"1,278 ","27,496 ",-,12.8 ,84.2 ,80.9 ,3.3 ,"138,174 ","134,754 ","128,916 ","5,838 ","3,420 "
,,,,,,,,,,,,,,,,
7,T,T,"397,119 ","5,295 ","5,100 ","397,314 ","24,124 ",18.7 ,157.2 ,143.7 ,13.5 ,"460,474 ","365,493 ","340,917 ","24,576 ","94,981 "
,M,T,"275,366 ","3,356 ","3,315 ","275,407 ","6,879 ",18.9 ,160.9 ,145.9 ,15.0 ,"502,874 ","396,207 ",,,"106,667 "
,F,T,"121,753 ","1,940 ","1,786 ","121,907 ","17,246 ",18.4 ,148.7 ,138.6 ,10.1 ,"364,631 ","296,066 ",,,"68,565 "
,,N,"372,913 ","4,642 ","4,368 ","373,190 ",-,19.0 ,161.0 ,146.8 ,14.2 ,"480,422 ","379,908 ","353,939 ","25,969 ","100,514 "
,,P,"24,207 ",653 ,732 ,"24,124 ",-,15.1 ,97.1 ,94.7 ,2.4 ,"152,526 ","142,956 ","139,889 ","3,067 ","9,570 "
,,,,,,,,,,,,,,,,
9,T,T,"281,811 ","5,463 ","4,765 ","282,509 ","25,808 ",18.7 ,156.4 ,143.8 ,12.6 ,"413,106 ","345,211 ","322,963 ","22,248 ","67,895 "
,M,T,"177,217 ","3,212 ","3,037 ","177,392 ","6,938 ",19.1 ,162.2 ,148.7 ,13.5 ,"462,765 ","383,619 ",,,"79,146 "
,F,T,"104,594 ","2,251 ","1,728 ","105,117 ","18,870 ",18.1 ,146.6 ,135.5 ,11.1 ,"329,135 ","280,264 ",,,"48,871 "
,,N,"256,146 ","4,525 ","4,058 ","256,700 ",-,19.2 ,163.8 ,150.1 ,13.7 ,"441,365 ","367,012 ","342,806 ","24,206 ","74,353 "
,,P,"25,665 ",938 ,707 ,"25,808 ",-,13.5 ,83.5 ,81.6 ,1.9 ,"131,550 ","127,995 ","125,257 ","2,738 ","3,555 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
H,,,運輸業，郵便業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,7頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"2,947,830 ","43,333 ","44,086 ","2,947,077 ","552,901 ",19.1 ,161.0 ,140.4 ,20.6 ,"379,045 ","318,289 ","276,228 ","42,061 ","60,756 "
,M,T,"2,207,237 ","29,830 ","30,116 ","2,206,951 ","245,640 ",19.7 ,172.1 ,147.6 ,24.5 ,"418,043 ","351,538 ",,,"66,505 "
,F,T,"740,593 ","13,502 ","13,970 ","740,125 ","307,260 ",17.2 ,128.1 ,119.1 ,9.0 ,"262,789 ","219,172 ",,,"43,617 "
,,N,"2,394,430 ","30,516 ","31,008 ","2,394,176 ",-,19.9 ,175.3 ,151.2 ,24.1 ,"435,079 ","361,065 ","311,518 ","49,547 ","74,014 "
,,P,"553,400 ","12,817 ","13,079 ","552,901 ",-,15.5 ,99.2 ,93.7 ,5.5 ,"136,505 ","133,136 ","123,478 ","9,658 ","3,369 "
,,,,,,,,,,,,,,,,
0,T,T,"2,121,255 ","32,250 ","33,571 ","2,119,934 ","430,789 ",18.8 ,159.1 ,138.5 ,20.6 ,"395,693 ","326,401 ","281,619 ","44,782 ","69,292 "
,M,T,"1,543,371 ","21,426 ","21,942 ","1,542,855 ","193,397 ",19.5 ,170.6 ,145.8 ,24.8 ,"440,984 ","363,794 ",,,"77,190 "
,F,T,"577,885 ","10,824 ","11,629 ","577,080 ","237,392 ",17.1 ,128.5 ,119.1 ,9.4 ,"274,667 ","226,480 ",,,"48,187 "
,,N,"1,689,220 ","23,396 ","23,561 ","1,689,146 ",-,19.6 ,173.4 ,149.1 ,24.3 ,"460,199 ","374,111 ","320,740 ","53,371 ","86,088 "
,,P,"432,035 ","8,855 ","10,010 ","430,789 ",-,15.9 ,103.3 ,97.1 ,6.2 ,"143,120 ","139,593 ","128,440 ","11,153 ","3,527 "
,,,,,,,,,,,,,,,,
1,T,T,"112,649 ","2,191 ","1,972 ","112,868 ","18,600 ",16.9 ,131.0 ,122.0 ,9.0 ,"551,317 ","422,272 ","363,825 ","58,447 ","129,045 "
,M,T,"58,980 ","1,094 ","1,021 ","59,053 ","10,692 ",18.1 ,145.7 ,133.5 ,12.2 ,"663,358 ","521,262 ",,,"142,096 "
,F,T,"53,669 ","1,097 ",951 ,"53,815 ","7,908 ",15.5 ,115.0 ,109.5 ,5.5 ,"428,277 ","313,564 ",,,"114,713 "
,,N,"94,073 ","1,812 ","1,610 ","94,268 ",-,16.9 ,136.5 ,126.4 ,10.1 ,"626,484 ","472,992 ","406,195 ","66,797 ","153,492 "
,,P,"18,576 ",379 ,362 ,"18,600 ",-,16.5 ,103.2 ,99.7 ,3.5 ,"170,495 ","165,305 ","149,163 ","16,142 ","5,190 "
,,,,,,,,,,,,,,,,
3,T,T,"132,765 ","2,102 ","2,044 ","132,823 ","20,628 ",18.7 ,154.6 ,138.4 ,16.2 ,"513,072 ","396,144 ","348,313 ","47,831 ","116,928 "
,M,T,"98,655 ","1,481 ","1,477 ","98,659 ","10,712 ",19.1 ,161.8 ,143.1 ,18.7 ,"566,193 ","436,834 ",,,"129,359 "
,F,T,"34,110 ",622 ,567 ,"34,165 ","9,916 ",17.6 ,133.8 ,124.7 ,9.1 ,"359,556 ","278,552 ",,,"81,004 "
,,N,"112,109 ","1,683 ","1,608 ","112,195 ",-,19.1 ,163.2 ,145.1 ,18.1 ,"576,682 ","439,433 ","385,942 ","53,491 ","137,249 "
,,P,"20,656 ",420 ,436 ,"20,628 ",-,16.5 ,107.7 ,102.0 ,5.7 ,"167,471 ","160,949 ","143,870 ","17,079 ","6,522 "
,,,,,,,,,,,,,,,,
4,T,T,"245,414 ","4,293 ","4,016 ","245,691 ","39,228 ",17.9 ,143.8 ,130.9 ,12.9 ,"530,634 ","408,142 ","355,436 ","52,706 ","122,492 "
,M,T,"157,635 ","2,575 ","2,498 ","157,712 ","21,404 ",18.7 ,155.8 ,139.5 ,16.3 ,"602,562 ","468,435 ",,,"134,127 "
,F,T,"87,779 ","1,718 ","1,518 ","87,979 ","17,824 ",16.3 ,122.3 ,115.4 ,6.9 ,"401,581 ","299,963 ",,,"101,618 "
,,N,"206,182 ","3,495 ","3,218 ","206,463 ",-,18.1 ,151.1 ,136.6 ,14.5 ,"599,413 ","454,750 ","395,186 ","59,564 ","144,663 "
,,P,"39,232 ",798 ,798 ,"39,228 ",-,16.5 ,105.6 ,100.9 ,4.7 ,"168,904 ","163,013 ","146,378 ","16,635 ","5,891 "
,,,,,,,,,,,,,,,,
5,T,T,"901,397 ","15,084 ","14,029 ","902,452 ","168,279 ",18.8 ,158.7 ,138.0 ,20.7 ,"415,997 ","338,818 ","291,882 ","46,936 ","77,179 "
,M,T,"661,351 ","10,082 ","9,440 ","661,993 ","72,485 ",19.4 ,170.1 ,145.4 ,24.7 ,"469,455 ","381,030 ",,,"88,425 "
,F,T,"240,046 ","5,002 ","4,589 ","240,459 ","95,794 ",16.9 ,127.7 ,117.7 ,10.0 ,"268,770 ","222,564 ",,,"46,206 "
,,N,"733,485 ","11,235 ","10,585 ","734,173 ",-,19.4 ,171.8 ,148.0 ,23.8 ,"478,532 ","384,716 ","329,914 ","54,802 ","93,816 "
,,P,"167,912 ","3,849 ","3,444 ","168,279 ",-,15.7 ,102.0 ,94.5 ,7.5 ,"142,994 ","138,448 ","125,853 ","12,595 ","4,546 "
,,,,,,,,,,,,,,,,
7,T,T,"974,445 ","12,873 ","15,526 ","971,792 ","223,282 ",19.2 ,163.4 ,140.9 ,22.5 ,"342,824 ","294,266 ","253,480 ","40,786 ","48,558 "
,M,T,"724,385 ","8,769 ","10,004 ","723,150 ","99,509 ",19.7 ,174.4 ,147.5 ,26.9 ,"379,756 ","325,241 ",,,"54,515 "
,F,T,"250,060 ","4,104 ","5,522 ","248,642 ","123,773 ",17.7 ,131.6 ,121.8 ,9.8 ,"235,621 ","204,356 ",,,"31,265 "
,,N,"749,553 ","8,665 ","9,758 ","748,510 ",-,20.1 ,181.2 ,153.6 ,27.6 ,"403,890 ","341,508 ","291,246 ","50,262 ","62,382 "
,,P,"224,892 ","4,208 ","5,768 ","223,282 ",-,16.0 ,103.9 ,98.4 ,5.5 ,"138,701 ","136,352 ","127,240 ","9,112 ","2,349 "
,,,,,,,,,,,,,,,,
9,T,T,"826,575 ","11,083 ","10,515 ","827,143 ","122,111 ",19.6 ,165.7 ,145.3 ,20.4 ,"336,350 ","297,486 ","262,403 ","35,083 ","38,864 "
,M,T,"663,867 ","8,405 ","8,174 ","664,098 ","52,243 ",20.2 ,175.3 ,151.7 ,23.6 ,"364,725 ","323,053 ",,,"41,672 "
,F,T,"162,708 ","2,678 ","2,341 ","163,045 ","69,869 ",17.3 ,126.5 ,119.2 ,7.3 ,"220,675 ","193,260 ",,,"27,415 "
,,N,"705,210 ","7,120 ","7,447 ","705,031 ",-,20.6 ,179.7 ,156.3 ,23.4 ,"374,901 ","329,812 ","289,424 ","40,388 ","45,089 "
,,P,"121,365 ","3,962 ","3,069 ","122,111 ",-,13.8 ,84.4 ,81.5 ,2.9 ,"113,063 ","110,254 ","105,897 ","4,357 ","2,809 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
I,,,卸売業，小売業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,8頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
